1131381612 2005.11.07 UNKNOWN_LOCATION 2005-11-07-08.40.12.867033 UNKNOWN_LOCATION NULL CMCS INFO Starting SystemController
1131381616 2005.11.07 UNKNOWN_LOCATION 2005-11-07-08.40.16.434268 UNKNOWN_LOCATION NULL CMCS INFO Controlling BG/L rows [ 0 1 2 3 4 5 6 7 ]
1131381616 2005.11.07 UNKNOWN_LOCATION 2005-11-07-08.40.16.553475 UNKNOWN_LOCATION NULL CMCS INFO Running as background command
1131392635 2005.11.07 NULL 2005-11-07-11.43.55.862659 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131392717 2005.11.07 NULL 2005-11-07-11.45.17.589917 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131397251 2005.11.07 NULL 2005-11-07-13.00.51.565061 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402811 2005.11.07 NULL 2005-11-07-14.33.31.616620 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402823 2005.11.07 NULL 2005-11-07-14.33.43.080416 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402824 2005.11.07 NULL 2005-11-07-14.33.44.763907 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402824 2005.11.07 NULL 2005-11-07-14.33.44.991527 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.034126 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.334906 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.375127 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.442670 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.494936 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.503599 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.521848 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.527798 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.533683 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.539742 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.545694 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.557652 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.575665 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.581704 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.587616 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.605793 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.611742 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.617624 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.623661 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.629582 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.635612 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.647603 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.653695 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.659560 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
1131402825 2005.11.07 NULL 2005-11-07-14.33.45.677636 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char*)
